year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,HAWAII,HI,15,95,82,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,15954,437664
2016,HAWAII,HI,15,95,82,US PRESIDENT,"STEIN, JILL",GREEN,False,12737,437664
2016,HAWAII,HI,15,95,82,US PRESIDENT,BLANK VOTE,,False,8289,437664
2016,HAWAII,HI,15,95,82,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,4508,437664
2016,HAWAII,HI,15,95,82,US PRESIDENT,OVER VOTE,,False,438,437664
2016,IDAHO,ID,16,82,63,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,409055,690255
2016,IDAHO,ID,16,82,63,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,189765,690255
2016,IDAHO,ID,16,82,63,US PRESIDENT,"MCMULLIN, EVAN",INDEPENDENT,False,60748,690255
2016,IDAHO,ID,16,82,63,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,28331,690255
2016,IDAHO,ID,16,82,63,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,2356,690255
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,3090729,5536424
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2146015,5536424
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,209596,5536424
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"STEIN, JILL",GREEN,False,76802,5536424
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,,,True,13282,5536424
2016,INDIANA,IN,18,32,22,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1557286,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1033126,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,133993,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,,GREEN,True,7841,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,True,1937,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,,INDEPENDENT,True,718,2734958
2016,INDIANA,IN,18,32,22,US PRESIDENT,"EMIDIO """"MIMI"""", SOLTYSIK",SOCIALIST PARTY USA,True,57,2734958
2016,IOWA,IA,19,42,31,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,800983,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,653669,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,59186,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,,,True,17746,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"MCMULLIN, EVAN",NOMINATED BY PETITION,False,12366,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"STEIN, JILL",GREEN,False,11479,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,5335,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"KAHN, LYNN S.",NEW INDEPENDENT PARTY IOWA,False,2247,1565580
